Depth,Pressure,Permeability,Thickness,Inclination,WGR,GasFlow
700,1,10,1,0,0,0.0
700,1,10,1,0,5,0.0
700,1,10,1,0,10,0.0
700,1,10,1,0,40,0.0
700,1,10,1,0,70,0.0
700,1,10,1,0,100,0.0
700,1,10,1,30,0,0.0
700,1,10,1,30,5,0.0
700,1,10,1,30,10,0.0
700,1,10,1,30,40,0.0
700,1,10,1,30,70,0.0
700,1,10,1,30,100,0.0
700,1,10,1,60,0,0.0
700,1,10,1,60,5,0.0
700,1,10,1,60,10,0.0
700,1,10,1,60,40,0.0
700,1,10,1,60,70,0.0
700,1,10,1,60,100,0.0
700,1,10,5,0,0,0.6
700,1,10,5,0,5,0.0
700,1,10,5,0,10,0.0
700,1,10,5,0,40,0.0
700,1,10,5,0,70,0.0
700,1,10,5,0,100,0.0
700,1,10,5,30,0,0.6
700,1,10,5,30,5,0.0
700,1,10,5,30,10,0.0
700,1,10,5,30,40,0.0
700,1,10,5,30,70,0.0
700,1,10,5,30,100,0.0
700,1,10,5,60,0,0.6
700,1,10,5,60,5,0.0
700,1,10,5,60,10,0.0
700,1,10,5,60,40,0.0
700,1,10,5,60,70,0.0
700,1,10,5,60,100,0.0
700,1,10,10,0,0,1.1
700,1,10,10,0,5,0.0
700,1,10,10,0,10,0.0
700,1,10,10,0,40,0.0
700,1,10,10,0,70,0.0
700,1,10,10,0,100,0.0
700,1,10,10,30,0,1.1
700,1,10,10,30,5,0.0
700,1,10,10,30,10,0.0
700,1,10,10,30,40,0.0
700,1,10,10,30,70,0.0
700,1,10,10,30,100,0.0
700,1,10,10,60,0,1.1
700,1,10,10,60,5,0.0
700,1,10,10,60,10,0.0
700,1,10,10,60,40,0.0
700,1,10,10,60,70,0.0
700,1,10,10,60,100,0.0
700,1,10,20,0,0,2.3
700,1,10,20,0,5,0.0
700,1,10,20,0,10,0.0
700,1,10,20,0,40,0.0
700,1,10,20,0,70,0.0
700,1,10,20,0,100,0.0
700,1,10,20,30,0,2.3
700,1,10,20,30,5,0.0
700,1,10,20,30,10,0.0
700,1,10,20,30,40,0.0
700,1,10,20,30,70,0.0
700,1,10,20,30,100,0.0
700,1,10,20,60,0,2.2
700,1,10,20,60,5,0.0
700,1,10,20,60,10,0.0
700,1,10,20,60,40,0.0
700,1,10,20,60,70,0.0
700,1,10,20,60,100,0.0
700,1,10,50,0,0,5.3
700,1,10,50,0,5,0.0
700,1,10,50,0,10,0.0
700,1,10,50,0,40,0.0
700,1,10,50,0,70,0.0
700,1,10,50,0,100,0.0
700,1,10,50,30,0,5.2
700,1,10,50,30,5,0.0
700,1,10,50,30,10,0.0
700,1,10,50,30,40,0.0
700,1,10,50,30,70,0.0
700,1,10,50,30,100,0.0
700,1,10,50,60,0,4.9
700,1,10,50,60,5,0.0
700,1,10,50,60,10,0.0
700,1,10,50,60,40,0.0
700,1,10,50,60,70,0.0
700,1,10,50,60,100,0.0
700,1,50,1,0,0,0.6
700,1,50,1,0,5,0.0
700,1,50,1,0,10,0.0
700,1,50,1,0,40,0.0
700,1,50,1,0,70,0.0
700,1,50,1,0,100,0.0
700,1,50,1,30,0,0.6
700,1,50,1,30,5,0.0
700,1,50,1,30,10,0.0
700,1,50,1,30,40,0.0
700,1,50,1,30,70,0.0
700,1,50,1,30,100,0.0
700,1,50,1,60,0,0.6
700,1,50,1,60,5,0.0
700,1,50,1,60,10,0.0
700,1,50,1,60,40,0.0
700,1,50,1,60,70,0.0
700,1,50,1,60,100,0.0
700,1,50,5,0,0,2.7
700,1,50,5,0,5,0.0
700,1,50,5,0,10,0.0
700,1,50,5,0,40,0.0
700,1,50,5,0,70,0.0
700,1,50,5,0,100,0.0
700,1,50,5,30,0,2.7
700,1,50,5,30,5,0.0
700,1,50,5,30,10,0.0
700,1,50,5,30,40,0.0
700,1,50,5,30,70,0.0
700,1,50,5,30,100,0.0
700,1,50,5,60,0,2.7
700,1,50,5,60,5,0.0
700,1,50,5,60,10,0.0
700,1,50,5,60,40,0.0
700,1,50,5,60,70,0.0
700,1,50,5,60,100,0.0
700,1,50,10,0,0,5.1
700,1,50,10,0,5,0.0
700,1,50,10,0,10,0.0
700,1,50,10,0,40,0.0
700,1,50,10,0,70,0.0
700,1,50,10,0,100,0.0
700,1,50,10,30,0,5.1
700,1,50,10,30,5,0.0
700,1,50,10,30,10,0.0
700,1,50,10,30,40,0.0
700,1,50,10,30,70,0.0
700,1,50,10,30,100,0.0
700,1,50,10,60,0,4.8
700,1,50,10,60,5,0.0
700,1,50,10,60,10,0.0
700,1,50,10,60,40,0.0
700,1,50,10,60,70,0.0
700,1,50,10,60,100,0.0
700,1,50,20,0,0,8.7
700,1,50,20,0,5,6.4
700,1,50,20,0,10,6.1
700,1,50,20,0,40,5.7
700,1,50,20,0,70,5.5
700,1,50,20,0,100,5.2
700,1,50,20,30,0,8.4
700,1,50,20,30,5,6.1
700,1,50,20,30,10,5.9
700,1,50,20,30,40,5.4
700,1,50,20,30,70,5.2
700,1,50,20,30,100,4.9
700,1,50,20,60,0,7.5
700,1,50,20,60,5,5.1
700,1,50,20,60,10,4.6
700,1,50,20,60,40,0.0
700,1,50,20,60,70,0.0
700,1,50,20,60,100,0.0
700,1,50,50,0,0,13.3
700,1,50,50,0,5,11.5
