Pressure,Permeability,Thickness,Inclination,WGR,GasFlow
1,10,1,0,0,0.0
1,10,1,0,5,0.0
1,10,1,0,10,0.0
1,10,1,0,40,0.0
1,10,1,0,70,0.0
1,10,1,0,100,0.0
1,10,1,30,0,0.0
1,10,1,30,5,0.0
1,10,1,30,10,0.0
1,10,1,30,40,0.0
1,10,1,30,70,0.0
1,10,1,30,100,0.0
1,10,1,60,0,0.0
1,10,1,60,5,0.0
1,10,1,60,10,0.0
1,10,1,60,40,0.0
1,10,1,60,70,0.0
1,10,1,60,100,0.0
1,10,5,0,0,3.7
1,10,5,0,5,3.0
1,10,5,0,10,3.0
1,10,5,0,40,3.0
1,10,5,0,70,2.9
1,10,5,0,100,2.9
1,10,5,30,0,3.6
1,10,5,30,5,3.0
1,10,5,30,10,3.0
1,10,5,30,40,2.9
1,10,5,30,70,2.9
1,10,5,30,100,2.9
1,10,5,60,0,3.6
1,10,5,60,5,2.9
1,10,5,60,10,2.9
1,10,5,60,40,2.8
1,10,5,60,70,2.8
1,10,5,60,100,2.8
1,10,10,0,0,7.1
1,10,10,0,5,6.6
1,10,10,0,10,6.5
1,10,10,0,40,6.4
1,10,10,0,70,6.3
1,10,10,0,100,6.3
1,10,10,30,0,7.1
1,10,10,30,5,6.5
1,10,10,30,10,6.4
1,10,10,30,40,6.3
1,10,10,30,70,6.3
1,10,10,30,100,6.2
1,10,10,60,0,6.9
1,10,10,60,5,6.2
1,10,10,60,10,6.1
1,10,10,60,40,6.0
1,10,10,60,70,5.9
1,10,10,60,100,5.8
1,10,20,0,0,12.9
1,10,20,0,5,12.3
1,10,20,0,10,12.0
1,10,20,0,40,11.5
1,10,20,0,70,11.2
1,10,20,0,100,10.9
1,10,20,30,0,12.7
1,10,20,30,5,12.0
1,10,20,30,10,11.8
1,10,20,30,40,11.2
1,10,20,30,70,10.9
1,10,20,30,100,10.5
1,10,20,60,0,11.7
1,10,20,60,5,10.8
1,10,20,60,10,10.5
1,10,20,60,40,9.8
1,10,20,60,70,9.4
1,10,20,60,100,9.1
1,10,50,0,0,22.4
1,10,50,0,5,21.0
1,10,50,0,10,20.2
1,10,50,0,40,18.5
1,10,50,0,70,17.5
1,10,50,0,100,16.7
1,10,50,30,0,21.5
1,10,50,30,5,20.1
1,10,50,30,10,19.3
1,10,50,30,40,17.7
1,10,50,30,70,16.7
1,10,50,30,100,15.8
1,10,50,60,0,18.2
1,10,50,60,5,16.6
1,10,50,60,10,15.8
1,10,50,60,40,14.3
1,10,50,60,70,13.4
1,10,50,60,100,12.6
1,50,1,0,0,3.1
1,50,1,0,5,2.4
1,50,1,0,10,2.4
1,50,1,0,40,2.4
1,50,1,0,70,2.4
1,50,1,0,100,2.4
1,50,1,30,0,3.1
1,50,1,30,5,2.4
1,50,1,30,10,2.4
1,50,1,30,40,2.4
1,50,1,30,70,2.4
1,50,1,30,100,2.4
1,50,1,60,0,3.1
1,50,1,60,5,2.4
1,50,1,60,10,2.4
1,50,1,60,40,2.3
1,50,1,60,70,2.3
1,50,1,60,100,2.3
1,50,5,0,0,13.7
1,50,5,0,5,13.1
1,50,5,0,10,12.8
1,50,5,0,40,12.3
1,50,5,0,70,11.9
1,50,5,0,100,11.6
1,50,5,30,0,13.5
1,50,5,30,5,12.8
1,50,5,30,10,12.5
1,50,5,30,40,12.0
1,50,5,30,70,11.6
1,50,5,30,100,11.2
1,50,5,60,0,12.4
1,50,5,60,5,11.5
1,50,5,60,10,11.2
1,50,5,60,40,10.5
1,50,5,60,70,10.0
1,50,5,60,100,9.7
1,50,10,0,0,21.3
1,50,10,0,5,20.0
1,50,10,0,10,19.3
1,50,10,0,40,17.9
1,50,10,0,70,17.0
1,50,10,0,100,16.2
1,50,10,30,0,20.5
1,50,10,30,5,19.2
1,50,10,30,10,18.6
1,50,10,30,40,17.1
1,50,10,30,70,16.2
1,50,10,30,100,15.4
1,50,10,60,0,17.6
1,50,10,60,5,16.1
1,50,10,60,10,15.4
1,50,10,60,40,14.0
1,50,10,60,70,13.1
1,50,10,60,100,12.4
1,50,20,0,0,27.5
1,50,20,0,5,25.5
1,50,20,0,10,24.4
1,50,20,0,40,21.9
1,50,20,0,70,20.5
1,50,20,0,100,19.3
1,50,20,30,0,26.1
1,50,20,30,5,24.1
1,50,20,30,10,23.0
1,50,20,30,40,20.7
1,50,20,30,70,19.3
1,50,20,30,100,18.1
1,50,20,60,0,21.2
1,50,20,60,5,19.2
1,50,20,60,10,18.2
1,50,20,60,40,16.2
1,50,20,60,70,15.0
1,50,20,60,100,14.1
1,50,50,0,0,32.1
1,50,50,0,5,29.5
1,50,50,0,10,27.9
1,50,50,0,40,24.7
1,50,50,0,70,22.8
1,50,50,0,100,21.3
1,50,50,30,0,30.1
1,50,50,30,5,27.6
1,50,50,30,10,26.1
1,50,50,30,40,23.1
1,50,50,30,70,21.3
1,50,50,30,100,19.9
1,50,50,60,0,23.6
1,50,50,60,5,21.2
1,50,50,60,10,20.0
1,50,50,60,40,17.6
1,50,50,60,70,16.2
1,50,50,60,100,15.1
1,100,1,0,0,5.5
1,100,1,0,5,5.1
1,100,1,0,10,5.1
1,100,1,0,40,5.0
1,100,1,0,70,5.0
1,100,1,0,100,5.0
1,100,1,30,0,5.5
1,100,1,30,5,5.1
1,100,1,30,10,5.0
1,100,1,30,40,5.0
1,100,1,30,70,5.0
1,100,1,30,100,4.9
1,100,1,60,0,5.4
1,100,1,60,5,4.9
1,100,1,60,10,4.9
1,100,1,60,40,4.8
1,100,1,60,70,4.7
1,100,1,60,100,4.7
1,100,5,0,0,20.3
1,100,5,0,5,19.2
1,100,5,0,10,18.6
1,100,5,0,40,17.3
1,100,5,0,70,16.5
1,100,5,0,100,15.8
1,100,5,30,0,19.6
1,100,5,30,5,18.5
1,100,5,30,10,17.9
1,100,5,30,40,16.6
1,100,5,30,70,15.7
1,100,5,30,100,15.0
1,100,5,60,0,17.1
1,100,5,60,5,15.7
1,100,5,60,10,15.0
1,100,5,60,40,13.7
1,100,5,60,70,12.9
1,100,5,60,100,12.2
1,100,10,0,0,27.0
1,100,10,0,5,25.1
1,100,10,0,10,24.0
1,100,10,0,40,21.7
1,100,10,0,70,20.3
1,100,10,0,100,19.1
1,100,10,30,0,25.7
1,100,10,30,5,23.8
1,100,10,30,10,22.7
1,100,10,30,40,20.5
1,100,10,30,70,19.1
1,100,10,30,100,18.0
1,100,10,60,0,21.0
1,100,10,60,5,19.0
1,100,10,60,10,18.0
1,100,10,60,40,16.1
1,100,10,60,70,14.9
1,100,10,60,100,14.0
1,100,20,0,0,31.1
1,100,20,0,5,28.7
1,100,20,0,10,27.2
1,100,20,0,40,24.1
1,100,20,0,70,22.4
1,100,20,0,100,20.9
1,100,20,30,0,29.3
1,100,20,30,5,26.9
1,100,20,30,10,25.5
1,100,20,30,40,22.6
1,100,20,30,70,20.9
1,100,20,30,100,19.6
1,100,20,60,0,23.1
1,100,20,60,5,20.8
1,100,20,60,10,19.7
1,100,20,60,40,17.3
1,100,20,60,70,16.0
1,100,20,60,100,14.9
1,100,50,0,0,33.6
1,100,50,0,5,30.9
1,100,50,0,10,29.2
1,100,50,0,40,25.6
1,100,50,0,70,23.7
1,100,50,0,100,22.0
1,100,50,30,0,31.5
1,100,50,30,5,28.8
1,100,50,30,10,27.2
1,100,50,30,40,23.9
1,100,50,30,70,22.0
1,100,50,30,100,20.5
1,100,50,60,0,24.5
1,100,50,60,5,21.9
1,100,50,60,10,20.6
1,100,50,60,40,18.1
1,100,50,60,70,16.6
1,100,50,60,100,15.5
1,500,1,0,0,16.4
1,500,1,0,5,15.7
1,500,1,0,10,15.4
1,500,1,0,40,14.7
1,500,1,0,70,14.2
1,500,1,0,100,13.7
